planeta,score,distancia,temperatura,gases,descoberta
K2-18b,80,124.0,275,"H2O, CH4, CO2, DMS",2015
TOI-700d,60,101.5,268,"CO2, CH4, O2, O3",2020
Proxima Centauri b,40,4.24,234,"H2O, CO2, CH4",2016
TRAPPIST-1e,20,40.7,246,"CO2, H2O",2017
LHS 1140b,20,48.5,230,"H2O, CO2",2017
